University_name,Region,Founded_year,Motto,World_rank,,,,,,
University of Oxford,South East England,1096,The Lord is my light,1,,,,,,
University of Cambridge,East of England,1209,"From here, light and sacred draughts",2,,,,,,
Imperial College London,London,1907,Knowledge is the adornment and safeguard of the Empire,3,,,,,,
University College London,London,1826,Let all come who by merit most deserve reward,4,,,,,,
London School of Economics and Political Science,London,1895,To know the causes of things,5,,,,,,
University of Edinburgh,Scotland,1583,Seek and You Shall Find,6,,,,,,
King's College London,London,1829,With Holiness and Wisdom,7,,,,,,
University of Manchester,North West England,1824,"Knowledge, wisdom, humanity",8,,,,,,
University of Bristol,South West England,1909,Learning promotes one's innate power,9,,,,,,
Durham University,North East England,1832,Her foundations are upon the holy hills,10,,,,,,
University of Glasgow,Scotland,1451,"The Way, the Truth and the Life",11,,,,,,
University of Warwick,West Midlands,1965,Mind Moves matter,12,,,,,,
University of St Andrews,Scotland,1413,Ever to excel,13,,,,,,
University of Exeter,South West England,1955,We follow the light,14,,,,,,
University of Sheffield,Yorkshire and the Humber,1905,To know the causes of things,15,,,,,,
Queen Mary University of London,London,1989,With united power,16,,,,,,
University of Southampton,South East England,1952,The Heights Yield to Endeavour,17,,,,,,
University of Birmingham,West Midlands,1900,"Through hard work, great heights are achieved",18,,,,,,
University of York,Yorkshire and the Humber,1963,On the threshold of wisdom,19,,,,,,
"Royal Holloway, University of London",South East England,1849,"To be, rather than to seem",20,,,,,,
Lancaster University,North West England,1964,Truth lies open to all,21,,,,,,
University of Leeds,Yorkshire and the Humber,1904,And Knowledge Will Be Increased,22,,,,,,
University of Sussex,South East England,1961,Be still and know,23,,,,,,
University of Nottingham,East Midlands,1948,A city is built on wisdom,24,,,,,,
University of East Anglia UEA,East of England,1963,Do different,25,,,,,,
Leeds Arts University,Yorkshire and the Humber,1846,NA,26,,,,,,
University of Liverpool,North West England,1881,These days of peace foster learning,27,,,,,,
University of Reading,South East England,1892,NA,28,,,,,,
University of Leicester,East Midlands,1957,So that they may have life,29,,,,,,
University of Aberdeen,Scotland,1495,The fear of the Lord is the beginning of wisdom,30,,,,,,
Cardiff University,Wales,1997,"Truth, Unity and Concord",31,,,,,,
University of Dundee,Scotland,1967,My soul magnifies the Lord,32,,,,,,
Newcastle University,North East England,1963,I look ahead,33,,,,,,
St George's University of London,London,1733,NA,34,,,,,,
Queen's University Belfast,Northern Ireland,1849,"For so much, what shall we give back?",35,,,,,,
University of Bath,South West England,1966,Learn each field of study according to its kind,36,,,,,,
"City, University of London",London,1966,To Serve Mankind,37,,,,,,
Heriot-Watt University,Scotland,1966,Leaders in ideas and solutions,38,,,,,,
University of Surrey,South East England,1966,Wonderful things happen here,39,,,,,,
University of Strathclyde,Scotland,1964,The Place of Useful Learning,40,,,,,,
University of Essex,East of England,1964,"Thought the harder, heart the keener",41,,,,,,
Loughborough University,East Midlands,1966,"With Truth, Knowledge and Labour",42,,,,,,
University of Kent,South East England,1965,Whose service is perfect freedom,43,,,,,,
Swansea University,Wales,1920,Technical skill is bereft without culture,44,,,,,,
De Montfort University,East Midlands,1992,Excellence and Zeal,45,,,,,,
University of the Arts London,London,1986,First among artists,46,,,,,,
Aberystwyth University,Wales,1872,A world without knowledge is no world at all,47,,,,,,
University of the West of England,South West England,1992,"Light, Liberty, Learning",48,,,,,,
University of Portsmouth,South East England,1992,Let us follow the Light,49,,,,,,
Middlesex University,London,1973,NA,50,,,,,,
Bangor University,Wales,1884,The Best Gift is Knowledge,51,,,,,,
Birmingham City University,West Midlands,1992,Do what you are doing; attend to your business,52,,,,,,
Sheffield Hallam University,Yorkshire and the Humber,1992,Learn and Serve,53,,,,,,
Brunel University London,London,1966,"To bring benefit to society through excellence in education, research and knowledge transfer",54,,,,,,
University of Hertfordshire,East of England,1992,Seek Knowledge Throughout Life,55,,,,,,
Nottingham Trent University,East Midlands,1992,NA,56,,,,,,
Coventry University,West Midlands,1992,Skill and energy,57,,,,,,
University of Ulster,Northern Ireland,1968,NA,58,,,,,,
"Goldsmiths, University of London",London,1904,Institute for Creative and Cultural Entrepreneurship,59,,,,,,
Leeds Beckett University,Yorkshire and the Humber,1992,NA,60,,,,,,
University of Stirling,Scotland,1967,"By connecting, innovating and transforming, we believe our thinking can change the world",61,,,,,,
"SOAS, University of London",London,1916,Knowledge is Power,62,,,,,,
Oxford Brookes University,South East England,1865,learning through doing,63,,,,,,
Edinburgh Napier University,Scotland,1992,"Without knowledge, everything is in vain",64,,,,,,
University of Salford,North West England,1967,Let us seek higher things,65,,,,,,
Liverpool John Moores University,North West England,1992,Fortune Assists the Bold,66,,,,,,
Aston University,West Midlands,1895,Forward,67,,,,,,
Keele University,West Midlands,1962,Thanke God for All,68,,,,,,
Anglia Ruskin University,East of England,1858,Excellence through partnership,69,,,,,,
University of Hull,Yorkshire and the Humber,1954,Bearing the Torch,70,,,,,,
University of Greenwich,London,1890,"To learn, to do, to achieve",71,,,,,,
Manchester Metropolitan University,North West England,1992,"Many Arts, Many Skills",72,,,,,,
University of Brighton,South East England,1992,NA,73,,,,,,
Bournemouth University,South West England,1992,To learn is to change,74,,,,,,
University of Westminster,London,1838,The Lord is our Strength,75,,,,,,
Northumbria University,North East England,1992,The age of learning,76,,,,,,
University of Central Lancashire,North West England,1992,From the Earth to the Sun,77,,,,,,
Kingston University,London,1992,Through learning we progress,78,,,,,,
University of Wolverhampton,West Midlands,1992,Innovation and opportunity,79,,,,,,
University of Lincoln,East of England,1992,Excellence through study,80,,,,,,
University of East London,London,1992,Science and fulfillment of vows,81,,,,,,
London Metropolitan University,London,1848,Knowledge in Abundance,82,,,,,,
London South Bank University,London,1892,Do it with thy Might,83,,,,,,
University of Sunderland,North East England,1992,Sweetly absorbing knowledge,84,,,,,,
Abertay University,Scotland,1994,Blessed is the one who finds wisdom,85,,,,,,
University of Huddersfield,Yorkshire and the Humber,1992,"For You, But Not Yours",86,,,,,,
University of South Wales,Wales,1841,Success Through Endeavour,87,,,,,,
University of Derby,East Midlands,1992,Experience Teaches,88,,,,,,
Robert Gordon University,Scotland,1992,Make the best of all your abilities,89,,,,,,
Staffordshire University,West Midlands,1992,Dare to know,90,,,,,,
University of Northampton,East Midlands,2005,Let us not be ignorant,91,,,,,,
University of Roehampton,London,2004,NA,92,,,,,,
University of Bedfordshire,East of England,2006,NA,93,,,,,,
Glasgow Caledonian University,Scotland,1993,For the Common Weal,94,,,,,,
Bath Spa University,South West England,1975,NA,95,,,,,,
Teesside University,North East England,1992,Deeds Not Words,96,,,,,,
University of Bradford,Yorkshire and the Humber,1966,Give invention light,97,,,,,,
Edge Hill University,North East England,2006,"From knowledge, opportunity",98,,,,,,
Canterbury Christ Church University,South East England,2005,The truth shall set you free,99,,,,,,
University of Chester,North West England,2005,"He that teacheth, on teaching",100,,,,,,
Solent University,South East England,2004,Spark Your Imagination,101,,,,,,
Cardiff Metropolitan University,Wales,2011,The most valuable possession is knowledge,102,,,,,,
University of Wales Trinity Saint David,Wales,2010,NA,103,,,,,,
University of the West of Scotland,Scotland,1897,To achieve through hard work,104,,,,,,
University of Buckingham,South East England,1973,Flying on our own Wings,105,,,,,,
University for the Creative Arts,South East England,2005,NA,106,,,,,,
University of Gloucestershire,South West England,2001,In Spirit and Truth,107,,,,,,
University of Bolton,North West England,2004,Wisdom is over Morus,108,,,,,,
Liverpool Hope University,North West England,2005,Hope to all who need it,109,,,,,,
University of Winchester,South East England,2005,Wisdom and Knowledge,110,,,,,,
University of West London,London,1990,NA,111,,,,,,
University of Cumbria,North West England,2007,NA,112,,,,,,
University of Worcester,West Midlands,2005,Inspire to Aspire,113,,,,,,
"St Mary's University, Twickenham",London,1850,Show Thyself a Mother,114,,,,,,
Wrexham Glyndwr University,Wales,2008,Confidence through Education,115,,,,,,
Queen Margaret University,Scotland,2007,NA,116,,,,,,
University of Chichester,South East England,2005,"By teaching, we learn",117,,,,,,
York St John University,Yorkshire and the Humber,1841,They may have life and have it more abundantly,118,,,,,,
Buckinghamshire New University,South East England,2007,By Art and Industry,119,,,,,,
Ravensbourne University London,London,1962,Designed for industry,120,,,,,,
Harper Adams University,Wales,2012,Useful and agreeable,121,,,,,,
Falmouth University,South West England,2012,"Creative, Connected, Courageous",122,,,,,,
Leeds Trinity University,Yorkshire and the Humber,2012,Knowledge and Excellence,123,,,,,,
Arts University Bournemouth,South West England,1885,"A place to shape and build your work; to learn, share, provoke and collaborate",124,,,,,,
Plymouth Marjon University,South West England,1923,Out of studies comes character,125,,,,,,
University of Suffolk,East of England,2007,Honesty and diligence,126,,,,,,
Norwich University of the Arts,East of England,1845,NA,127,,,,,,
Royal Agricultural University,South West England,2013,Caring for the Fields and the Beasts,128,,,,,,
Bishop Grosseteste University,East of England,1862,Not all things to oneself,129,,,,,,
Plymouth University,South West England,1856,Explore Dream Discover,130,,,,,,
Newman University,West Midlands,1968,From the shadow to the truth,131,,,,,,
